Store,2024,Store_ID,Store_Status,Postal_Code,City,GPS_Coordinates,Poststed,Region_Code,Region_Name,Municipality_Code,Municipality_Name,PostnummerKategoriKode,PostnummerKategori,Latitude,Longitude
arendal,657340.107,201,Open,4836,Arendal,58.4594945;8.7634542,ARENDAL,09,AUST-AGDER,0906,ARENDAL,G,Gateadresser og stedsadresser,58.4591500,8.7607500
brokelandsheia,202000.73,409,Open,4993,Sundebru,58.8242306; 9.0740381,SUNDEBRU,09,AUST-AGDER,0911,GJERSTAD,G,Gateadresser og stedsadresser,58.8218740,9.0727330
evje,130385.25600000001,172,Open,4735,Evje,58.586901;7.805743,EVJE,09,AUST-AGDER,0937,EVJE OG HORNNES,B,Både gateadresser og postbokser,58.5861200,7.8060900
farsund,157736.174,307,Open,4550,Farsund,58.09639305;06.80553279,FARSUND,10,VEST-AGDER,1003,FARSUND,G,Gateadresser og stedsadresser,58.0945170,6.8019980
flekkefjord,138930.686,167,Open,4400,Flekkefjord,58.2965231;6.6619036,FLEKKEFJORD,10,VEST-AGDER,1004,FLEKKEFJORD,G,Gateadresser og stedsadresser,58.2962070,6.6627330
froland,199482.69800000003,437,Open,4820,Froland,58.5084127;8.6293413,FROLAND,09,AUST-AGDER,0919,FROLAND,G,Gateadresser og stedsadresser,58.5083810,8.6305330
grimstad,327752.684,211,Open,4876,Grimstad,58.3416;8.5938,GRIMSTAD,09,AUST-AGDER,0904,GRIMSTAD,G,Gateadresser og stedsadresser,58.3394400,8.5885200
hovden,56292.299999999996,107,Open,4755,Hovden I Setesdal,59.559677;7.355829,HOVDEN I SETESDAL,09,AUST-AGDER,0941,BYKLE,G,Gateadresser og stedsadresser,59.5581360,7.3577630
"kristiansand, lillemarkens",631003.084,254,Open,4611,Kristiansand S,58.1452;7.9915,KRISTIANSAND S,10,VEST-AGDER,1001,KRISTIANSAND,G,Gateadresser og stedsadresser,58.1457600,7.9937500
"kristiansand, sorlandssenteret",656887.993,253,Open,4636,Kristiansand S,58.1799;8.1333,KRISTIANSAND S,10,VEST-AGDER,1001,KRISTIANSAND,G,Gateadresser og stedsadresser,58.1753500,8.1256300
"kristiansand, vagsbygd",348980.742,386,Open,4621,Kristiansand S,58.1253;7.9526,KRISTIANSAND S,10,VEST-AGDER,1001,KRISTIANSAND,G,Gateadresser og stedsadresser,58.1247100,7.9523500
kvinesdal,58124.628,430,Open,4480,Kvinesdal,58.3176;6.9587,KVINESDAL,10,VEST-AGDER,1037,KVINESDAL,G,Gateadresser og stedsadresser,58.3143100,6.9618000
lillesand,233821.83800000002,306,Open,4790,Lillesand,58.249204;8.376206,LILLESAND,09,AUST-AGDER,0926,LILLESAND,G,Gateadresser og stedsadresser,58.2487530,8.3767630
lyngdal,180435.219,345,Open,4580,Lyngdal,58.138;7.069,LYNGDAL,10,VEST-AGDER,1032,LYNGDAL,G,Gateadresser og stedsadresser,58.1375800,7.0686300
mandal,297698.774,266,Open,4517,Mandal,58.0293;7.4614,MANDAL,10,VEST-AGDER,1002,MANDAL,G,Gateadresser og stedsadresser,58.0392100,7.4590000
risor,141013.447,169,Open,4950,Risør,58.7211;9.2338,RISØR,09,AUST-AGDER,0901,RISØR,G,Gateadresser og stedsadresser,58.7206000,9.2342000
sogne,290602.95600000006,354,Open,4640,Søgne,58.0986;7.8152,SØGNE,10,VEST-AGDER,1018,SØGNE,G,Gateadresser og stedsadresser,58.0966000,7.8149000
tvedestrand,239424.837,323,Open,4900,Tvedestrand,58.6240313;8.9277902,TVEDESTRAND,09,AUST-AGDER,0914,TVEDESTRAND,G,Gateadresser og stedsadresser,58.6220000,8.9266000
vennesla,156326.105,344,Open,4700,Vennesla,58.27097461;7.970477342,VENNESLA,10,VEST-AGDER,1014,VENNESLA,G,Gateadresser og stedsadresser,58.2701700,7.9733900
asker,622380.5050000001,202,Open,1383,Asker,59.8367269;10.4336347,ASKER,02,AKERSHUS,0220,ASKER,G,Gateadresser og stedsadresser,59.8342400,10.4125500
bjorkelangen,152766.142,301,Open,1940,Bjørkelangen,59.8831;11.5667,BJØRKELANGEN,02,AKERSHUS,0221,AURSKOG-HØLAND,G,Gateadresser og stedsadresser,59.8838990,11.5705780
"barum, bekkestua",487770.464,190,Open,1357,Bekkestua,59.9166545;10.5887072,BEKKESTUA,02,AKERSHUS,0219,BÆRUM,G,Gateadresser og stedsadresser,59.9184620,10.5872150
"barum, barums verk",172730.40999999997,453,Open,1353,Bærums Verk,59.9414269;10.5019759,BÆRUMS VERK,02,AKERSHUS,0219,BÆRUM,G,Gateadresser og stedsadresser,59.9418790,10.5003980
"barum, fornebu",364864.403,442,Open,1364,Fornebu,59.8935172;10.6207561,FORNEBU,02,AKERSHUS,0219,BÆRUM,G,Gateadresser og stedsadresser,59.8949430,10.6257530
"barum, kolsas",646124.373,124,Open,1352,Kolsås,59.915870361;10.500054359,KOLSÅS,02,AKERSHUS,0219,BÆRUM,G,Gateadresser og stedsadresser,59.9166580,10.5004460
